index,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
1273,Hyundai Grand i10 Sportz,Ahmedabad,2017,17125,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,5.4
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.83 Lakh,2.95
1275,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2013,37000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,5.1
1276,Maruti Wagon R LXI Minor,Jaipur,2006,65000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,,1.5
1279,Honda City 1.5 EXI,Pune,2005,98437,Petrol,Manual,First,13.0 kmpl,1493 CC,100 bhp,5,,1.15
1280,Hyundai i20 1.2 Magna,Kolkata,2010,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,2.3
1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,35070,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,5.99
1283,Hyundai i10 Sportz 1.2,Kolkata,2009,40000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,1.7
1284,Hyundai i20 Asta,Kolkata,2009,43000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,1.99
1285,Chevrolet Beat LS,Pune,2012,65000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,,2.5
1286,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.85
1287,Ford Figo Petrol LXI,Hyderabad,2010,51192,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,,2.65
1289,Honda City i DTEC VX,Jaipur,2015,66339,Diesel,Manual,Second,25.1 kmpl,1498 CC,98.6 bhp,5,,6.9
1290,Ford Figo Diesel Titanium,Hyderabad,2013,90200,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,,3.5
1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5,,9.2
1293,Hyundai Grand i10 AT Asta,Mumbai,2015,29631,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,,4.9
1297,Fiat Linea Emotion (Diesel),Kolkata,2010,145000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5,,2.6
1298,Maruti Swift Lxi BSIII,Jaipur,2015,78000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,,4.5
1301,Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.13 Lakh,5.25
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,,3.67
1306,Toyota Etios G,Delhi,2012,60000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5,,3.1
1307,Tata Indigo LX,Ahmedabad,2015,78008,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5,,2.9
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,3.49
1312,Maruti Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,4.25
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0 kmpl,1396 CC,88.76 bhp,5,10.73 Lakh,1.9
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5,9.5 Lakh,2.5
1318,Honda City 1.3 EXI,Ahmedabad,2002,85000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5,,1.2
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,,1.6
1322,Tata Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.6
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,6.07 Lakh,6.06
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,,5.29
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,5.75
1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,,5.72
1329,Hyundai i10 Sportz AT,Kochi,2014,61517,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,,4.39
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5,,4.83
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,Diesel,Manual,Second,21.27 kmpl,1396 CC,88.76 bhp,5,,4.5
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,,4.99
1339,Honda City i DTec E,Coimbatore,2016,24337,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,8.18
1340,Honda Brio S Option MT,Pune,2012,79000,Petrol,Manual,First,18.4 kmpl,1198 CC,86.8 bhp,5,,2.9
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,7.1
1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,7.05
1351,Maruti Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,6.93
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7,,7.9
1358,Maruti Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.88
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,2.15
1360,Nissan Sunny 2011-2014 XV,Pune,2013,8000,Petrol,Manual,First,16.95 kmpl,1498 CC,97.7 bhp,5,,3.75
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,3.6
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.33 Lakh,3.6
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5,8.63 Lakh,7.55
1364,Honda Mobilio S i DTEC,Kolkata,2015,50000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7,,4.7
1365,Tata Manza Aqua Quadrajet,Jaipur,2010,100030,Diesel,Manual,Second,18.8 kmpl,1248 CC,90 bhp,5,,1.6
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.68 Lakh,6.17
1370,Nissan Micra XL,Kolkata,2016,31001,Petrol,Manual,First,18.44 kmpl,1198 CC,75 bhp,5,,3
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51 kmpl,998 CC,67.04 bhp,5,,2.85
1376,Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,,6.75
1377,Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,7.75
1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.54 kmpl,1396 CC,88.76 bhp,5,,4.4
1382,Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,1.69
1384,Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,3.2
1387,Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,,5.1
1389,Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5,,2.4
1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,,5.67
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.98 Lakh,6.2
1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3
1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,,2.25
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,7.48
1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,3.1
1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,,2.55
1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.5
1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.59
1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,,5.45
1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,,6
1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.75
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,7.63 Lakh,4
1414,Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
1415,Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,5.5
1416,Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,5,,1.59
1417,Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,6.22
1418,Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.75
1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,,2.8
1422,Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5,,2.45
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,,6.35
1428,Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5,,3.15
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,,6.48
1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,0.75
1434,Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,5
1436,Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.6
1438,Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,5.05
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7,,9.6
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5,,5.5
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh,3.5
1444,Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.49 kmpl,1198 CC,67.04 bhp,5,,4.26
1445,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5,,4.25
1447,Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.5 kmpl,1498 CC,88.7 bhp,5,,3.5
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0 kmpl,1396 CC,100 bhp,5,,3.25
1450,Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,4.9
1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5,,8.91
1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,2.4
1458,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4,,1.2
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,2.9
1462,Honda Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,7.5
1465,Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.39
1467,Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,6.85
1469,Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0 kmpl,1396 CC,69 bhp,5,,2
1470,Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,0.9
1471,Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,,3.8
1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,8.7
1475,Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,6.1
1478,Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.65
1479,Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,5.27
1480,Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1 kmpl,1248 CC,74 bhp,5,,2.48
1487,Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,,2.95
1488,Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Diesel,Manual,Second,21.02 kmpl,1248 CC,88.76 bhp,5,,2.65
1491,Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,3.25
1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,8.09 Lakh,5
1498,Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0 kmpl,998 CC,66.1 bhp,5,,1.95
1500,Hyundai i20 Asta (o),Delhi,2014,42365,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,5.5
1503,Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,,7.79
1504,Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,8.27
1510,Maruti Swift Dzire VDI,Delhi,2013,72486,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,3.95
1512,Maruti Swift Dzire ZXi,Delhi,2013,40000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,4.25
1517,Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,,6.17
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,11.52 Lakh,9.15
1520,Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,4.5
1522,Honda Brio S MT,Coimbatore,2016,14821,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,5.37
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,13.23 Lakh,7.7
1527,Hyundai i10 Sportz,Chennai,2012,49000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65 kmpl,1248 CC,88.7 bhp,5,10.06 Lakh,6.69
1530,Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,4.25
1535,Honda City i DTEC SV,Hyderabad,2014,65000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,6.99
1538,Maruti Alto 800 LXI,Chennai,2015,21000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.79
1539,Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Diesel,Manual,Second,21.12 kmpl,1248 CC,88.8 bhp,5,,2.9
1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.1 kmpl,1498 CC,99 bhp,5,9.79 Lakh,7.29
1546,Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.6
1547,Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03 kmpl,1461 CC,65 bhp,5,9.26 Lakh,3.1
1550,Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,3.5
1551,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,2.35
1553,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,,5.9
1554,Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,3.9
1557,Honda City i DTec SV,Delhi,2015,33000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,7
1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5,8.68 Lakh,7.23
1559,Maruti SX4 ZDI Leather,Mumbai,2012,90000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5,,3.81
1560,Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.6 kmpl,1197 CC,85.8 bhp,5,,4.5
1563,Maruti Alto LXi BSIII,Coimbatore,2010,59136,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.96
1564,Honda Amaze SX i-DTEC,Kolkata,2014,36000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.25
1567,Maruti Wagon R VXI BS IV,Kochi,2011,36411,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3.08
1571,Maruti Wagon R LX BS IV,Pune,2011,71000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,2.6
1576,Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,2014,42277,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,,3.85
1579,Hyundai Grand i10 Asta Option,Bangalore,2015,50000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,5.75
1580,Hyundai i10 Magna 1.2,Mumbai,2008,62000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,1.65
1585,Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,,3.02
1586,Hyundai EON Era,Coimbatore,2013,65060,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.32
1587,Honda Brio S MT,Delhi,2013,33000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,3.24
1588,Maruti Alto 800 VXI,Kolkata,2015,11110,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.35
1589,Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,11.15 Lakh,5.5
1592,Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,5.45
1593,Hyundai EON Magna Plus,Hyderabad,2013,20000,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5,,2.3
1594,Maruti Swift Dzire ZXI,Kochi,2015,24782,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,5,,6.21
1595,Nissan Micra XV CVT,Coimbatore,2014,47303,Petrol,Automatic,First,19.34 kmpl,1198 CC,76 bhp,5,,5.21
1597,Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,,3.1
1599,Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,,4
1602,Maruti 800 AC BSIII,Hyderabad,2011,83969,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,,1.3
1603,Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,,4.42
1606,Honda Amaze VX i-DTEC,Kochi,2015,61691,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,5.38
1607,Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,,3.25
1608,Maruti Wagon R AMT VXI,Jaipur,2016,68630,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5,,3.87
1610,Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,9.28
1612,Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Petrol,Manual,Second,15.26 kmpl,1150 CC,74.9 bhp,5,,1.15
1613,Maruti Ciaz ZXi Option,Kochi,2016,40347,Petrol,Manual,First,20.73 kmpl,1373 CC,91.2 bhp,5,,7.8
1614,Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,,4.5
1615,Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,,7.56
1617,Hyundai i20 1.2 Sportz,Bangalore,2012,52237,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,4.5
1619,Hyundai i10 Era 1.1,Delhi,2011,54000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,2.2
1620,Maruti Celerio VXI AT,Bangalore,2014,49800,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,4
1621,Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,20.86 kmpl,1199 CC,73.9 bhp,5,,2.51
1622,Maruti Swift VDI BSIV,Delhi,2015,60095,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,4.75
1623,Hyundai i10 Magna(O) with Sun Roof,Pune,2008,68000,Petrol,Manual,Second,16.0 kmpl,1086 CC,66.7 bhp,5,,2
1624,Hyundai i10 Magna 1.2,Jaipur,2010,81402,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,2.1
1627,Maruti Swift VDI BSIV,Ahmedabad,2017,49224,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,6
1628,Maruti 800 Std BSIII,Jaipur,2004,12000,Petrol,Manual,Second,16.1 kmpl,796 CC,37 bhp,4,,0.45
1629,Maruti Swift Lxi BSIII,Pune,2010,54898,Petrol,Manual,Third,16.1 kmpl,1298 CC,88.2 bhp,5,,2.5
1632,Ford Ikon 1.3 Flair,Hyderabad,2006,27076,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5,,1.6
1633,Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2017,75445,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,7.54
1634,Maruti Ciaz VXi Plus,Kochi,2015,46601,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,6.84
1636,Honda Jazz 1.5 VX i DTEC,Pune,2017,27000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,,8
1638,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2017,34429,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,5.5
1641,Nissan Sunny 2011-2014 XL,Jaipur,2011,42000,Petrol,Manual,Second,16.95 kmpl,1498 CC,97.7 bhp,5,,3
1643,Chevrolet Aveo 1.4 LS,Jaipur,2006,100000,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5,,1.4
1644,Honda Mobilio V i DTEC,Mumbai,2014,57000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7,,5.75
1645,Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.4
